id,textTranslated.en,themeIdsReviewed,modelThemes,themeScores,falsePositives,falseScores
ae7b8bec-c845-444b-b737-dbf4e85e12b4,Unbelievable cure for hepatitis B #BreakingNews #viralvideo #viralpost #hepatitis B #healthyrecipes.,['alternative-cures'],"['medical-exploitation', 'prevention-individual', 'alternative-cures', 'case-reporting', 'media-bias', 'treatment', 'alternative-cures']","[0.9976805448532104, 0.9976462721824646, 0.9885733723640442, 0.884563148021698, 0.8771694302558899, 0.8764759302139282, 0.8687360882759094]","['media-bias', 'medical-exploitation', 'case-reporting', 'treatment', 'prevention-individual']","[0.8771694302558899, 0.9976805448532104, 0.884563148021698, 0.8764759302139282, 0.9976462721824646]"
43b062bf-8a7f-49e8-a081-c4b892c57f22,"Here is Fisabilillahi Help to protect your health and reduce financial losses 1- If you want to treat Dankanoma, Bagaruwa tea or its leaves are enough for you 2- if you want to get rid of malaria, tea of sorghum leaves, lemon leaves, half of Shuwaka leaves, or papaya is enough for you 3- if you want to remove the dirt from the stomach and wash your kidneys (kidneys) with mango leaf powder and lemon or apple 4 if you want to get rid of bad breath mint tea mixed with lemon or Honey 5- if you really want Kuzari without stopping Energy Drinks or male enhancement pills, then chew two Male Nuts, 7 dates and drink coconut water here 6- If you want to treat mosquito bites, get orange peel and onion, you can put them in a sieve and put them in a funnel for a day before you spray them, or you can turn them into powder so that you put them on top of coals and the smoke will rise and all the mosquitoes will die or leave. 7-If you want to treat Hawa blood, Kasha Shayin Garin habbatus Sauda da Citta and Garin Tafarnuwa) reduce your thinking, avoid white sugar in food, drink energy drinks, avoid soda drink, and salt that is not burned in food 8- If you want to treat liver disease Hepatitis, stop sugarcane a lot and eat cucumber 9-If you want to get rid of stress, depression, listen to the recitation of the Quran 10-If you want to treat demons or drive them out of your house or someone else's body, stop drinking traditional tea, and Smoke the leaves of Naana'a, a demon or a demon, no matter how strong they are, they will leave because they don't like the smell of it just like we don't like the smell of bones. Photos from Sha Kuji Dadi's post","['alternative-cures', 'religious-practices', 'prevention-individual']","['alternative-cures', 'religious-practices', 'prevention-individual', 'alternative-cures', 'prevention-individual', 'alternative-cures', 'alternative-cures', 'stigmatization', 'prevention-collective', 'rfi', 'religious-practices', 'variants', 'bioweapon']","[0.9944560527801514, 0.9942377805709839, 0.99375981092453, 0.9916867017745972, 0.9908778667449951, 0.9904266595840454, 0.9890646934509277, 0.9769718050956726, 0.9755387306213379, 0.9738765954971313, 0.9645600914955139, 0.910756528377533, 0.8784595727920532]","['stigmatization', 'rfi', 'bioweapon', 'variants', 'prevention-collective']","[0.9769718050956726, 0.9738765954971313, 0.8784595727920532, 0.910756528377533, 0.9755387306213379]"
daaa98f4-72fe-4052-9b32-216b6dd6aa97,"Here is Fisabilillahi Help to protect your health and reduce financial losses 1- If you want to treat Dankanoma, Bagaruwa tea or its leaves are enough for you 2- if you want to get rid of malaria, tea of sorghum leaves, lemon leaves, half of Shuwaka leaves, or papaya is enough for you 3- if you want to remove the dirt from the stomach and wash your kidneys (kidneys) with mango leaf powder and lemon or apple 4 if you want to get rid of bad breath mint tea mixed with lemon or Honey 5- if you really want Kuzari without stopping Energy Drinks or male enhancement pills, then chew two Male Nuts, 7 dates and drink coconut water here 6- If you want to treat mosquito bites, get orange peel and onion, you can put them in a sieve and put them in a funnel for a day before you spray them, or you can turn them into powder so that you put them on top of coals and the smoke will rise and all the mosquitoes will die or leave. 7-If you want to treat Hawa blood, Kasha Shayin Garin habbatus Sauda da Citta and Garin Tafarnuwa) reduce your thinking, avoid white sugar in food, drink energy drinks, avoid soda drink, and salt that is not burned in food 8- If you want to treat liver disease Hepatitis, stop sugarcane a lot and eat cucumber 9-If you want to get rid of stress, depression, listen to the recitation of the Quran 10-If you want to treat demons or drive them out of your house or someone else's body, stop drinking traditional tea, and Smoke the leaves of Naana'a, a demon or a demon, no matter how strong they are, they will leave because they don't like the smell of it just like we don't like the smell of bones. Photos from Secret Life's post","['alternative-cures', 'religious-practices']","['prevention-individual', 'alternative-cures', 'religious-practices', 'alternative-cures', 'prevention-individual', 'alternative-cures', 'alternative-cures', 'stigmatization', 'prevention-collective', 'rfi', 'religious-practices', 'variants', 'bioweapon']","[0.9942127466201782, 0.9936975836753845, 0.9934719204902649, 0.9912511110305786, 0.9903607368469238, 0.9887611269950867, 0.9867937564849854, 0.9780133366584778, 0.9741129875183105, 0.9703615307807922, 0.965999960899353, 0.908279538154602, 0.8935199975967407]","['stigmatization', 'rfi', 'bioweapon', 'variants', 'prevention-individual', 'prevention-collective']","[0.9780133366584778, 0.9703615307807922, 0.8935199975967407, 0.908279538154602, 0.9942127466201782, 0.9741129875183105]"
a1ae8e01-76c3-4293-9a31-50bf62a076d1,Lady Healed of HIV Testimony🥺🔥 #salvationhub,"['alternative-cures', 'religious-practices']","['religious-practices', 'case-reporting', 'alternative-cures', 'prevention-individual', 'rfi', 'alternative-cures', 'prevention-individual', 'treatment', 'rfi', 'prevention-collective']","[0.9936419725418091, 0.989616334438324, 0.9882286787033081, 0.9808031916618347, 0.9730408787727356, 0.9595341086387634, 0.9554975628852844, 0.9162424206733704, 0.9114238619804382, 0.8679075241088867]","['case-reporting', 'rfi', 'treatment', 'prevention-individual', 'prevention-collective']","[0.989616334438324, 0.9730408787727356, 0.9162424206733704, 0.9808031916618347, 0.8679075241088867]"
c350b1e5-065b-4f51-9cb0-b7953b7bc12b,"WORLD MOSQUITO DAY A mosquito (bug) is a creature with six legs and two wings, it is among the animals that fly, it is also like all creatures it has a male and a female, it drinks the blood of a human (female mosquito) until it causes fever. Mosquito bites. Mosquitoes are one of the world's deadliest insect vectors, infecting millions of people every year. More than one million children die every year as a result of this mosquito-borne disease, according to research (Wikepedia). Malaria is a disease that can affect people, and it is caused by the presence of plasmodium species in the blood which is spread by the female mosquito, and now the mosquito has started to tolerate the insecticides that are used to kill it. Symptoms of malaria include fever, headache, vomiting, anemia, bad taste in the mouth, etc., which is caused by mosquito bites, and blood transfusion. Health experts have explained cleaning the environment (get rid of all the places where mosquitoes live), using insecticides, sleeping in a treated mosquito net, for young children and there is this medicine which is provided by the SMC program that is SPARK, which is administered four times a year (4 cycles) to children under the age of five, as a means of protection from contracting malaria. What advice would you give to the authorities to fight malaria in Nigeria? #worldmosquitoday #WorldMosquitoDay #NasaraRadio #AmanarTalaka 20/8/2023 | Nasara Radio 98.5 FM (Amanar Talaka) ASARARADIO Poor WOLD SQUITO DAY World Mosquito Day August 20th every year f Nasara Radio 98.5 FM","['rfi', 'treatment', 'symptoms-severity', 'prevention-individual', 'capacity']","['rfi', 'treatment', 'prevention-collective', 'stigmatization', 'prevention-individual', 'rfi', 'bioweapon', 'symptoms-severity', 'prevention-individual', 'treatment', 'bioweapon', 'medical-exploitation', 'treatment', 'media-bias']","[0.9962155818939209, 0.9947521090507507, 0.982895016670227, 0.9752078056335449, 0.9750521183013916, 0.9695790410041809, 0.9514589309692383, 0.9436580538749695, 0.9419949650764465, 0.9405226111412048, 0.9156754612922668, 0.8550117611885071, 0.8536504507064819, 0.8401780724525452]","['stigmatization', 'media-bias', 'medical-exploitation', 'bioweapon', 'prevention-collective']","[0.9752078056335449, 0.8401780724525452, 0.8550117611885071, 0.9514589309692383, 0.982895016670227]"
69b63e43-c823-4331-a05f-4409ccc054c3,"INSTANT MIRACLES (CONT’D) • Goiter has been healed! • One-year lumber spondylosis has been healed! • Teeth pain has been healed! • Back pain has been healed. • Pain on the leg was healed, after a prophetic word from Apostle Joshua Selman. • Hepatitis and ulcer were healed, during the prayer session! • Serial headache and nasal congestion since 2012 have been miraculously healed during the prayer session. • Asthma has been miraculously healed. •A miracle job has just been confirmed, following a phone call. #ApostleJoshuaSelman #August2023MiracleService #KoinoniaAbuja #KoinoniaGlobal","['alternative-cures', 'religious-practices']","['prevention-individual', 'alternative-cures', 'religious-practices', 'religious-practices', 'case-reporting', 'variants', 'symptoms-severity', 'alternative-cures', 'rfi', 'rfi', 'prevention-individual']","[0.998715877532959, 0.9981255531311035, 0.9979705214500427, 0.9970285296440125, 0.9931209087371826, 0.9874207377433777, 0.9313383102416992, 0.9213461875915527, 0.9104817509651184, 0.8904059529304504, 0.8621687293052673]","['symptoms-severity', 'rfi', 'case-reporting', 'variants', 'prevention-individual']","[0.9313383102416992, 0.9104817509651184, 0.9931209087371826, 0.9874207377433777, 0.998715877532959]"
d1692ee0-d7a2-4fac-9f86-a5faf0e319cb,"In this report, Nurudeen Akewushola reports how a general hospital in Kaduna State has been operating without electricity since August 2022. The hospital’s health workers interviewed by #TheICIR shared their experiences of using cellphone touch lights and rechargeable lamps to provide healthcare for patients due to the absence of electricity. They also expressed their concern over the frustration of patients in the pediatric ward, where they constantly battle heat and mosquito bites. The hospital was confirmed to have no potable water, either for drinking or domestic use. Findings showed that health workers, especially nurses, often go outside the hospital to get water at a cost. Relatives of the patients also do the same in some cases, due to the same challenge. | SINCE August 2022, the General Hospital in Sabo, Chikun local government area of Kaduna State has been operating without electricity. In this report, Nurudeen Akewushola chronicles how the hospital was thrown off the national grid crippling healthcare services in the hospital. | Inside Kaduna General Hospital where power outage frustrates healthcare delivery | The ICIR- Latest News, Politics, Governance, Elections, Investigation, Factcheck, Covid-19",['capacity'],"['prevention-individual', 'case-reporting', 'symptoms-severity', 'rfi', 'stigmatization', 'corruption', 'medical-exploitation', 'corruption', 'capacity']","[0.995952844619751, 0.9953883290290833, 0.9752117395401001, 0.9699096083641052, 0.9090960621833801, 0.8764689564704895, 0.859146773815155, 0.8543570041656494, 0.8201355338096619]","['stigmatization', 'medical-exploitation', 'symptoms-severity', 'rfi', 'case-reporting', 'prevention-individual', 'corruption']","[0.9090960621833801, 0.859146773815155, 0.9752117395401001, 0.9699096083641052, 0.9953883290290833, 0.995952844619751, 0.8764689564704895]"
f0fbe15a-5b61-442e-9d8f-743ba024b789,"HIV POSITIVE TURN TO NEGATIVE 🔥🔥 || JESUS IS SO REAL😭😭😭😭😭😭 By _cfanuk - A woman who was once diagnosed with HIV attended the CfaN Gospel Crusade, where she was prayed for. Following the event she sought medical testing at three different clinicsand all the tests came back negative Many are celebrating this as a miraculous healing and giving thanks for what they believe is a sign of divine intervention. It's a remarkable story that has inspired joy and hope in those who hear it.... Amen. Spread this miracleous work of Jesus Christ 🔥 to bless others 🙏 #cfanuk #gospelliftchannel #miracles",['religious-practices'],"['prevention-individual', 'case-reporting', 'religious-practices', 'alternative-cures', 'variants', 'prevention-collective', 'treatment']","[0.9986148476600647, 0.9984734654426575, 0.9981546998023987, 0.9958221316337585, 0.983138918876648, 0.9740837216377258, 0.9128456711769104]","['alternative-cures', 'case-reporting', 'treatment', 'variants', 'prevention-individual', 'prevention-collective']","[0.9958221316337585, 0.9984734654426575, 0.9128456711769104, 0.983138918876648, 0.9986148476600647, 0.9740837216377258]"
35bd01c9-750c-4b5c-8c0a-4cd77a22f234,"46 YEARS OF EXCRUCIATING PAIN GONE! This is the glorious moment four decades of terrible pain came to an end in one supernatural encounter... Gabriella from Hungary had lived a life of tortuous pain, emanating from tuberculosis of the spine. Her days started in tears due to severe pain in her legs, hips and spine as a result of the ailment, which had defied all medical treatment. Be blessed as you witness the miraculous encounter at The Synagogue, Church Of All Nations (SCOAN) in Lagos, Nigeria which replaced her tears of pain with tears of joy! ""Jesus never stops giving us reasons to praise His holy name."" - TB Joshua | This is the glorious moment four decades of terrible pain came to an end in one supernatural encounter... Gabriella from Hungary had lived a life of tortuous... | 46 YEARS OF EXCRUCIATING PAIN GONE!",['religious-practices'],"['prevention-individual', 'religious-practices', 'case-reporting', 'alternative-cures', 'symptoms-severity', 'religious-practices', 'stigmatization']","[0.9982349872589111, 0.9979873895645142, 0.9963977336883545, 0.9779229760169983, 0.9656224250793457, 0.9218165278434753, 0.8142267465591431]","['stigmatization', 'alternative-cures', 'symptoms-severity', 'case-reporting', 'prevention-individual']","[0.8142267465591431, 0.9779229760169983, 0.9656224250793457, 0.9963977336883545, 0.9982349872589111]"
6a43fb69-5e35-4dd5-8def-040c543c07c7, | Q.The mosquito that transmit malaria? Anopheles Culex Aedes Mansonia,,"['rfi', 'rfi', 'prevention-individual', 'stigmatization', 'variants']","[0.9939647316932678, 0.978196382522583, 0.8442093133926392, 0.8405029773712158, 0.8207758069038391]","['stigmatization', 'rfi', 'variants', 'prevention-individual']","[0.8405029773712158, 0.9939647316932678, 0.8207758069038391, 0.8442093133926392]"
