id,createdAt,textTranslated.en,rawPredictions,themeIdsReviewed,themeIdsSystem,themeIdsUser,themeIdsSystemFalseNegatives,themeIdsSystemFalsePositives,issueIdsReviewed,issueIdsSystem,issueIdsUser,issueIdsSystemFalseNegatives,issueIdsSystemFalsePositives,sentimentReviewed,sentimentSystem,sentimentUser,sentimentSystemFalseNegatives,sentimentSystemFalsePositives
e8057e1a-65cc-4871-bd5e-f6aa088cdcaf,2023-09-15T14:58:56.388Z,"EFFECTIVE HIV DISEASE (HIV) MEDICATION The largest Islamic medical center that is Kashful Aleel, they certainly provide treatment for HIV and are cured, which there are many witnesses who confirm that this center provides HIV treatment. There are 3 people in Sokkoto who have recovered from HIV This disease is the reason for receiving their treatment, there are four people in Kano, there are 4 people in Bauchi, there is one person in Maiduguri and many others who have recovered from this disease. and it is being cured and many people have been cured from this disease, I pray to God. Anyone who wants to own this HIV drug should dial the following numbers 👇🏻 Call: 09033335480 Call: 07040305880 Click here to speak directly with Dr. Abdallah Yunus via WhatsApp on this number: http://Wa.me/+2347040305880 KASHFUL ALEEL ISLAMIC MEDICINE CENTER. | May God guide me and you to the right path, and grant us repentance and forgiveness, before returning to Him. | Abdallah Amdaz",,"treatment,religious-practices","treatment,rfi,case-reporting,bioweapon,religious-practices","treatment,religious-practices",,"rfi,case-reporting,bioweapon",hiv,,hiv,hiv,,neutral,negative,neutral,neutral,negative
2edf9942-1284-4f9d-ad6b-00785c37edaf,2023-09-15T14:58:57.507Z,"Di§turbing video of an HIV positive lady disclosing what she will do to the opposite g£nder in Ikorodu, Lagos",,stigmatization,"conspiracy,rfi,case-reporting,stigmatization,variants,media-bias,alternative-cures","stigmatization,media-bias",,"conspiracy,rfi,case-reporting,variants,media-bias,alternative-cures",hiv,hiv,,,,negative,negative,,,
8f587bbe-efff-4e40-a764-1bd9ef84aede,2023-09-15T14:58:53.814Z,"Her name is Happiness, but unfortunately she has never known happiness in life until GOD used Apostle chibuzor OPM to rescued her. Because both parents died in the village, hunger step in. She has to travel from her village in Akwa ibom to port harcourt without knowing anyone in port harcourt. As she arrived port harcourt. No place to sleep. She has to start sleeping under bridge by Agip junction. That first night 2 young men raped her under the bridge with knife and she later became pregnant. So with her pregnancy, she kept on sleeping under the bridge with cold. One day GOD remembered her using Apostle chibuzor to rescue her with her pregnancy. After her rescue, she was taken to OPM free specialist hospital to register her for antenatal care . During her medical test it was discovered that she is HIV positive. Those boys has infected her. And her pregnancy was already 9 months and she has never visited any hospital before while she was sleeping under the bridge. So because she did not take any drug to prevent mother to child transmission, it was discovered her baby also has HIV. So today mother and daughter has been placed on antiretroviral drugs and they are doing very well. Many people don’t know that antiretroviral drugs ( HIV DRUGS ) are 100 % free in all government hospitals. Below picture is Apostle Chibuzor celebrating her daughters birthday. And she is getting healthy and healthy everyday. With prayers, drugs and good food I believe the HIV in blood will soon disappear. It’s not her fault that her mother was raped by HIV boys.",,"treatment,capacity","treatment,capacity,bioweapon,rfi,religious-practices,case-reporting,alternative-cures,vaccine-side-effects","treatment,capacity,stigmatization",,"bioweapon,rfi,religious-practices,case-reporting,alternative-cures,vaccine-side-effects",hiv,hiv,,,,positive,positive,,,
17897e20-b639-4e43-affd-4cb364576606,2023-09-15T14:58:50.347Z,"DID YOU KNOW? ( 7 WONDERFUL FOOD KNOWLEDGE ) ➖➖➖➖➖➖➖➖➖➖➖➖➖➖ 1. A company in Taiwan makes Dinnerware (plate) out of Wheat, so you can eat your plate after you are done with your meal. (Great initiative) 2. You can eat 24 karat Gold without falling ill. As pure Gold is chemically inert (inactive), it will pass through the body and will get eliminated as waste. (Great scientific knowledge) 3. Joe Metheny, the in famous serial killer from Baltimore, not only cooked his victims to eat himself, he also made Burgers with their remains and sold them to unsuspecting customers from a roadside food stand. (Very horrible and shocking) 4. If you make Ice Cubes with Tap water, they will be white, and if you use Boiled water, it will be transparent. (Wonderful knowledge) 5. The Ice Cream you see in ""ice cream"" advertisement (ads) is actually mashed potatoes, because they will not melt during the production. (Wonderful idea) 6. A new study said that the bacteria that cause decay, acne, tuberculosis and leprosy can be killed off by eating cashews. (Wonderful research) 7. Subway (An American fast food restaurant) is offering lifetime free sandwiches, if you change your name to ""Subway"". (Great initiative) | SUBWAY Subway is offering Lifetime Free Sandwiches if you change your name to ""Subway"". | Photos from Research and Creative Kitchen's post",,alternative-cures,"medical-exploitation,bioweapon",alternative-cures,alternative-cures,"medical-exploitation,bioweapon",tuberculosis,tuberculosis,tuberculosis,,,positive,positive,,,
8a3f2d40-10b6-4044-867e-13bd26023ff7,2023-09-15T14:58:51.813Z,"Caregivers play a crucial role in preventing and treating malaria. By using insecticide-treated bed nets and seeking prompt medical attention for fever cases, caregivers can protect their families from malaria. Sleep inside a mosquito net every night to prevent malaria. #ZeroMalariaStartsWithMe #ActNow #ActAgainstMalaria | Photos from Breakthrough ACTION-Nigeria's post",,prevention-individual,"rfi,bioweapon,prevention-collective,case-reporting,capacity,alternative-cures","prevention-individual,treatment,prevention-collective",prevention-individual,"rfi,bioweapon,prevention-collective,case-reporting,capacity,alternative-cures",malaria,malaria,,,,neutral,positive,neutral,neutral,positive
f0fbe15a-5b61-442e-9d8f-743ba024b789,2023-09-15T14:58:35.025Z,"HIV POSITIVE TURN TO NEGATIVE 🔥🔥 || JESUS IS SO REAL😭😭😭😭😭😭 By _cfanuk - A woman who was once diagnosed with HIV attended the CfaN Gospel Crusade, where she was prayed for. Following the event she sought medical testing at three different clinicsand all the tests came back negative Many are celebrating this as a miraculous healing and giving thanks for what they believe is a sign of divine intervention. It's a remarkable story that has inspired joy and hope in those who hear it.... Amen. Spread this miracleous work of Jesus Christ 🔥 to bless others 🙏 #cfanuk #gospelliftchannel #miracles",,religious-practices,"case-reporting,rfi,religious-practices",religious-practices,,"case-reporting,rfi",hiv,,hiv,hiv,,negative,negative,,,
e058b7a9-8a83-4320-a380-60702a900d6f,2023-09-15T14:58:41.630Z,"Taking the HPV vaccine should be on your to-do list. WHY? The HPV vaccine helps in preventing against several strains of HPV that causes most cancers including Cervical Cancer and Genital Warts and is available across all our Medical centres. We have the Cervarix Vaccine for females only, Gardasil 4 and 9 for both males and females. Kindly visit any MSI Nigeria Medical Centres near you to get the HPV vaccines or call us for free on 08000022252 for further enquiries. Our locations 👇: SURULERE: 105, Itire Road, Lawanson Surulere, Lagos. LEKKI: No. 1, Alhaji Prince Raufu Ishola Lemomu St, Greenville Estate, Off Agungi-Ajiran Road, Lekki, Lagos. ABUJA: 29, Ekukinam Street Utako, Abuja. BENIN: 13, Aideyan street off Ihama road, GRA Benin-City PORT HARCOURT: 25, Nsirim Road, Off Ikwerre Road, Port Harcourt. #MarieStopesNigeria #msinigeria #mariestopes #familyplanning #reproductivehealth",,"vaccine-efficacy,treatment,capacity,prevention-individual","rfi,vaccine-efficacy,treatment,prevention-collective,capacity,stigmatization,bioweapon,alternative-cures,prevention-individual","vaccine-efficacy,treatment,capacity,prevention-individual",,"rfi,prevention-collective,stigmatization,bioweapon,alternative-cures",hpv,hpv,,,,positive,positive,,,
ded0368c-5cf5-4df0-a20f-4aa7eb1f3ffa,2023-09-15T14:58:43.484Z, | Papa why are u telling everybody that u have HIV AIOS instead of cancer? Well because don't want anybody to touch ur mother after my death Spyplaprar,,stigmatization,"conspiracy,stigmatization,media-bias,rfi,variants,prevention-collective,corruption",stigmatization,,"conspiracy,media-bias,rfi,variants,prevention-collective,corruption",hiv,hiv,,,,negative,negative,,,
91be3b7e-d8b4-4f4b-8843-6c2e0b9bfb91,2023-09-20T21:16:30.917Z,🇨🇲🇨🇲✊🏾✊🏾🇨🇲🇨🇲✊🏾✊🏾 Francis Nganou trained by Myke tyson Are you kidding with CAMEROON HUH It's going to heat up very badly 🔴Only the covid 19 vaccine can save us,,vaccine-efficacy,"conspiracy,vaccine-side-effects,vaccine-efficacy,rfi,prevention-collective",vaccine-efficacy,,"conspiracy,vaccine-side-effects,rfi,prevention-collective",covid-19,covid-19,,,,negative,,negative,negative,
4ee10efb-609c-4124-9c37-4b52f10c4f74,2023-09-20T21:16:24.077Z,“I Am HIV Positive And I Will Spread It Round Lagos” — Nigerian Lady Resident In Ikorodu Vows,,"symptoms-severity,stigmatization,case-reporting","conspiracy,symptoms-severity,stigmatization,variants,alternative-cures,case-reporting","symptoms-severity,stigmatization,case-reporting",,"conspiracy,variants,alternative-cures",hiv,hiv,,,,negative,negative,,,
