id,status,text,themeIds,issueIds,textTranslated.en,themeIdsReviewed,themeIdsSystem,themeIdsUser,themeIdsSystemFalseNegatives,themeIdsSystemFalsePositives,issueIdsReviewed,issueIdsSystem,issueIdsUser,issueIdsSystemFalseNegatives,issueIdsSystemFalsePositives,sentimentReviewed,sentimentSystem,sentimentUser,sentimentSystemFalseNegatives,sentimentSystemFalsePositives
15514dd4-1631-475b-bb8c-fb359173e5a9,needsReview,from where it can invade the nervous system and cause paralysis. Vaccine-derived poliovirus is a well-documented strain of poliovirus ...,[],[],,,,,,,,,,,,,,,,
353c8176-7077-43c5-8b2c-77a414424182,needsReview,"RT @ubasanius: Earlier today, I held a press briefing to sensitize citizens of Kaduna State and to formally launch a Statewide Immunization Campaign for the Prevention of the Integrated Fractional Inactivated PolioVirus Vaccine (FIPV). Polio virus infection is a devastating disease that causes… https://t.co/9ZQ2ZOlVyA",,,,,,,,,,,,,,,,,,
31596256-26ce-4ee2-a449-c79defcf87be,needsReview,"RT @ubasanius: Earlier today, I held a press briefing to sensitize citizens of Kaduna State and to formally launch a Statewide Immunization Campaign for the Prevention of the Integrated Fractional Inactivated PolioVirus Vaccine (FIPV). Polio virus infection is a devastating disease that causes… https://t.co/9ZQ2ZOlVyA",,,,,,,,,,,,,,,,,,
69744481-a319-473b-ae66-c7857ee41471,needsReview,"RT @ubasanius: Earlier today, I held a press briefing to sensitize citizens of Kaduna State and to formally launch a Statewide Immunization Campaign for the Prevention of the Integrated Fractional Inactivated PolioVirus Vaccine (FIPV). Polio virus infection is a devastating disease that causes… https://t.co/9ZQ2ZOlVyA",,,,,,,,,,,,,,,,,,
2f99dbad-fc64-443a-82dc-076da3055e6c,needsReview,"RT @ubasanius: Earlier today, I held a press briefing to sensitize citizens of Kaduna State and to formally launch a Statewide Immunization Campaign for the Prevention of the Integrated Fractional Inactivated PolioVirus Vaccine (FIPV). Polio virus infection is a devastating disease that causes… https://t.co/9ZQ2ZOlVyA",,,,,,,,,,,,,,,,,,
54f0d799-394c-429e-b0c5-337bc0d7daff,needsReview,"RT @webb0412: Health impact of polio vaccination? No freaking polio. Do these numpties not get that polio is no longer endemic in the US due to vaccinations? That millions suffer from post polio syndrome, even those that were asymptomatic? @RepChipRoy ; Chip Roy: ""I'm grateful that we have the opportunity to have a polio vaccine, but ... "" https://t.co/PJFq231ZmA",,,,,,,,,,,,,,,,,,
36bc1fe3-8398-46a9-b594-d83bf6c1bc8d,needsReview,"RT @ubasanius: Earlier today, I held a press briefing to sensitize citizens of Kaduna State and to formally launch a Statewide Immunization Campaign for the Prevention of the Integrated Fractional Inactivated PolioVirus Vaccine (FIPV). Polio virus infection is a devastating disease that causes… https://t.co/9ZQ2ZOlVyA",,,,,,,,,,,,,,,,,,
88cd0904-c95b-49ec-8daa-badeccaecbb6,needsReview,"Ali Pate was appointed as the Chief Executive Officer of GAVI, the Vaccine Alliance, an organization dedicated to providing vaccines in low ...",[],[],,,,,,,,,,,,,,,,
8338e978-d318-4607-a918-3eefd9528129,needsReview,"RT @DrJudyAMikovits: Signup to be ready for the free documentary series starting tomorrow July 26 ""REMEDY"": https://t.co/87pSKNdueg REMEDY will cover the history of vaccines, including smallpox and polio, and the scientific support (or lack thereof) for the current CDC vaccine schedule. The…",[],[],,,,,,,,,,,,,,,,
7957d3d2-41b9-42a9-a836-731151f8bdb2,needsReview,"RT @louisaclary: ""What about the Polio vaccine? It eradicated the disease."" Or did it? This is eye opening. ""Anytime my patients got kidney failure because of a drug, we stopped the drug. But all of a sudden there was a protective veil around vaccines which really woke me up."" -Suzanne… ; Smoke, Mirrors and the “Disappearance” of Polio. A presentation by Suzanne Humphries, MD. As a nephrologist, Suzanne was treating patients and noticed several had kidney failure seemingly out of no where. They all had one thing in common, they were recently vaccinated with the… https://t.co/O2qHkvisCN",,,,,,,,,,,,,,,,,,
0d807c1f-1b6b-4485-901c-8b5201864bfc,needsReview,"... into partial and complete remission after receiving a vaccine that is not for the faint of heart. Over six months, patients receive 17 ...",[],[],,,,,,,,,,,,,,,,
55722a0a-1ead-4929-88fd-6cf57db574a7,needsReview,"Can't wait for TTAV Presents REMEDY I got free access to the 8-Day documentary starting July 26! https://t.co/Zbb6aozXxd REMEDY will cover the history of vaccines, including smallpox and polio, and the scientific support (or lack thereof) for the current CDC vaccine schedule.… https://t.co/Bx47QokP44",[],[],,,,,,,,,,,,,,,,
3231923e-329d-4500-b082-207cb5eefc55,needsReview,"... and people of India in connection with several vaccine studies conducted in that country, including a particular one on young girls for an ...",[],[],,,,,,,,,,,,,,,,
8f4ab6c9-4870-47e7-b3ed-cdd4d565e349,needsReview,"... and people of India in connection with several vaccine studies conducted in that country, including a particular one on young girls for an ...",[],[],,,,,,,,,,,,,,,,
6c02ed4f-023c-4462-b664-0fb29966eed9,needsReview,"... that immunisation, particularly the eradication of all forms of vaccine-preventable diseases, remained its top priority. The Executive ...",[],[],,,,,,,,,,,,,,,,
fb4c848f-5fe5-42cd-bca1-36a814b7503c,needsReview,"RT @catsscareme2021: The CDC has quickly removed a page from their website, which is now cached here https://t.co/BHmgTmhEFI admitting that more than 98 million Americans received one or more doses of polio vaccine within an 8-year span when a proportion of the vaccine was contaminated with a cancer… https://t.co/ViLac9Rl8r",[],[],,,,,,,,,,,,,,,,
78a46379-c4a6-4580-b5cf-7c52cde6e55d,needsReview,"RT @catsscareme2021: The CDC has quickly removed a page from their website, which is now cached here https://t.co/BHmgTmhEFI admitting that more than 98 million Americans received one or more doses of polio vaccine within an 8-year span when a proportion of the vaccine was contaminated with a cancer… https://t.co/ViLac9Rl8r",[],[],,,,,,,,,,,,,,,,
430409e4-39e2-4308-9129-7796b96eacc3,needsReview,"... vaccinated due to health conditions like allergic reactions to the vaccine safe and protected from the disease,” it said. The percentage of ...",[],[],,,,,,,,,,,,,,,,
172e108a-f8fe-4dd2-ae9f-eacc8a9c11ca,needsReview,He also disclosed that Nigeria’s three-dose pentavalent vaccine coverage had improved from 33% in 2016 to 57% in 2021.,[],[],,,,,,,,,,,,,,,,
a07b54f8-992f-4c8a-b26b-13c227cf299c,needsReview,,,,,,,,,,,,,,,,,,,
8f91f5ce-2ba4-486c-aa59-9e6122be3689,needsReview,The vice president stated that Nigeria’s three dose pentavalent vaccine coverage has improved from 33% in 2016 to 57% in 2021. He ...,[],[],,,,,,,,,,,,,,,,
e9585918-c7b4-43c1-b43c-e80fd6439eb5,needsReview,,,,,,,,,,,,,,,,,,,
c061079c-f4ed-4a89-b0e8-7e47c671990b,needsReview,,,,,,,,,,,,,,,,,,,
8296aa4d-e41e-4e75-aaf1-30018d7d7a24,needsReview,... that the Federal Government will be introducing a new anti-cancer vaccine called the Human PapillomaVirus vaccine into the national ...,[],[],,,,,,,,,,,,,,,,
