id,text,themeIds,themeConfidence,themeIdsReviewedParent,predicted
e8057e1a-65cc-4871-bd5e-f6aa088cdcaf,"EFFECTIVE HIV DISEASE (HIV) MEDICATION The largest Islamic medical center that is Kashful Aleel, they certainly provide treatment for HIV and are cured, which there are many witnesses who confirm that this center provides HIV treatment. There are 3 people in Sokkoto who have recovered from HIV This disease is the reason for receiving their treatment, there are four people in Kano, there are 4 people in Bauchi, there is one person in Maiduguri and many others who have recovered from this disease. and it is being cured and many people have been cured from this disease, I pray to God. Anyone who wants to own this HIV drug should dial the following numbers 👇🏻 Call: 09033335480 Call: 07040305880 Click here to speak directly with Dr. Abdallah Yunus via WhatsApp on this number: http://Wa.me/+2347040305880 KASHFUL ALEEL ISLAMIC MEDICINE CENTER. | May God guide me and you to the right path, and grant us repentance and forgiveness, before returning to Him. | Abdallah Amdaz","['stigmatization case-reporting symptoms-severity variants', 'public health capacity', 'alternative cures religious practices', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects', 'bioweapon conspiracy corruption media-bias medical-exploitation']","[0.8729099631309509, 0.5736689567565918, 0.569686770439148, 0.17774854600429535, 0.021840255707502365]","['prevention-treatment-approved', 'prevention-treatment-alternative']","['illness-cause', 'intervention-capacity', 'prevention-treatment-alternative', 'prevention-treatment-approved', 'conspiracy-corruption']"
2edf9942-1284-4f9d-ad6b-00785c37edaf,"Di§turbing video of an HIV positive lady disclosing what she will do to the opposite g£nder in Ikorodu, Lagos","['stigmatization case-reporting symptoms-severity variants', 'bioweapon conspiracy corruption media-bias medical-exploitation', 'alternative cures religious practices', 'public health capacity', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects']","[0.9812111854553223, 0.8378642201423645, 0.20639343559741974, 0.17153024673461914, 0.005630228668451309]",['illness-cause'],"['illness-cause', 'conspiracy-corruption', 'prevention-treatment-alternative', 'intervention-capacity', 'prevention-treatment-approved']"
8f587bbe-efff-4e40-a764-1bd9ef84aede,"Her name is Happiness, but unfortunately she has never known happiness in life until GOD used Apostle chibuzor OPM to rescued her. Because both parents died in the village, hunger step in. She has to travel from her village in Akwa ibom to port harcourt without knowing anyone in port harcourt. As she arrived port harcourt. No place to sleep. She has to start sleeping under bridge by Agip junction. That first night 2 young men raped her under the bridge with knife and she later became pregnant. So with her pregnancy, she kept on sleeping under the bridge with cold. One day GOD remembered her using Apostle chibuzor to rescue her with her pregnancy. After her rescue, she was taken to OPM free specialist hospital to register her for antenatal care . During her medical test it was discovered that she is HIV positive. Those boys has infected her. And her pregnancy was already 9 months and she has never visited any hospital before while she was sleeping under the bridge. So because she did not take any drug to prevent mother to child transmission, it was discovered her baby also has HIV. So today mother and daughter has been placed on antiretroviral drugs and they are doing very well. Many people don’t know that antiretroviral drugs ( HIV DRUGS ) are 100 % free in all government hospitals. Below picture is Apostle Chibuzor celebrating her daughters birthday. And she is getting healthy and healthy everyday. With prayers, drugs and good food I believe the HIV in blood will soon disappear. It’s not her fault that her mother was raped by HIV boys.","['alternative cures religious practices', 'public health capacity', 'stigmatization case-reporting symptoms-severity variants', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects', 'bioweapon conspiracy corruption media-bias medical-exploitation']","[0.9881234169006348, 0.9867367744445801, 0.8943976163864136, 0.7163110971450806, 0.27970173954963684]","['prevention-treatment-approved', 'intervention-capacity']","['prevention-treatment-alternative', 'intervention-capacity', 'illness-cause', 'prevention-treatment-approved', 'conspiracy-corruption']"
17897e20-b639-4e43-affd-4cb364576606,"DID YOU KNOW? ( 7 WONDERFUL FOOD KNOWLEDGE ) ➖➖➖➖➖➖➖➖➖➖➖➖➖➖ 1. A company in Taiwan makes Dinnerware (plate) out of Wheat, so you can eat your plate after you are done with your meal. (Great initiative) 2. You can eat 24 karat Gold without falling ill. As pure Gold is chemically inert (inactive), it will pass through the body and will get eliminated as waste. (Great scientific knowledge) 3. Joe Metheny, the in famous serial killer from Baltimore, not only cooked his victims to eat himself, he also made Burgers with their remains and sold them to unsuspecting customers from a roadside food stand. (Very horrible and shocking) 4. If you make Ice Cubes with Tap water, they will be white, and if you use Boiled water, it will be transparent. (Wonderful knowledge) 5. The Ice Cream you see in ""ice cream"" advertisement (ads) is actually mashed potatoes, because they will not melt during the production. (Wonderful idea) 6. A new study said that the bacteria that cause decay, acne, tuberculosis and leprosy can be killed off by eating cashews. (Wonderful research) 7. Subway (An American fast food restaurant) is offering lifetime free sandwiches, if you change your name to ""Subway"". (Great initiative) | SUBWAY Subway is offering Lifetime Free Sandwiches if you change your name to ""Subway"". | Photos from Research and Creative Kitchen's post","['stigmatization case-reporting symptoms-severity variants', 'public health capacity', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects', 'bioweapon conspiracy corruption media-bias medical-exploitation', 'alternative cures religious practices']","[0.947619616985321, 0.9037469625473022, 0.6690481901168823, 0.2557353377342224, 0.1169666200876236]",['prevention-treatment-alternative'],"['illness-cause', 'intervention-capacity', 'prevention-treatment-approved', 'conspiracy-corruption', 'prevention-treatment-alternative']"
8a3f2d40-10b6-4044-867e-13bd26023ff7,"Caregivers play a crucial role in preventing and treating malaria. By using insecticide-treated bed nets and seeking prompt medical attention for fever cases, caregivers can protect their families from malaria. Sleep inside a mosquito net every night to prevent malaria. #ZeroMalariaStartsWithMe #ActNow #ActAgainstMalaria | Photos from Breakthrough ACTION-Nigeria's post","['public health capacity', 'stigmatization case-reporting symptoms-severity variants', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects', 'alternative cures religious practices', 'bioweapon conspiracy corruption media-bias medical-exploitation']","[0.9856005907058716, 0.5528692007064819, 0.3382881283760071, 0.19648736715316772, 0.01972312666475773]",['prevention-treatment-approved'],"['intervention-capacity', 'illness-cause', 'prevention-treatment-approved', 'prevention-treatment-alternative', 'conspiracy-corruption']"
f0fbe15a-5b61-442e-9d8f-743ba024b789,"HIV POSITIVE TURN TO NEGATIVE 🔥🔥 || JESUS IS SO REAL😭😭😭😭😭😭 By _cfanuk - A woman who was once diagnosed with HIV attended the CfaN Gospel Crusade, where she was prayed for. Following the event she sought medical testing at three different clinicsand all the tests came back negative Many are celebrating this as a miraculous healing and giving thanks for what they believe is a sign of divine intervention. It's a remarkable story that has inspired joy and hope in those who hear it.... Amen. Spread this miracleous work of Jesus Christ 🔥 to bless others 🙏 #cfanuk #gospelliftchannel #miracles","['public health capacity', 'stigmatization case-reporting symptoms-severity variants', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects', 'alternative cures religious practices', 'bioweapon conspiracy corruption media-bias medical-exploitation']","[0.22677627205848694, 0.05996131896972656, 0.008696286007761955, 0.004365034867078066, 0.00016877429152373224]",['prevention-treatment-alternative'],"['intervention-capacity', 'illness-cause', 'prevention-treatment-approved', 'prevention-treatment-alternative', 'conspiracy-corruption']"
e058b7a9-8a83-4320-a380-60702a900d6f,"Taking the HPV vaccine should be on your to-do list. WHY? The HPV vaccine helps in preventing against several strains of HPV that causes most cancers including Cervical Cancer and Genital Warts and is available across all our Medical centres. We have the Cervarix Vaccine for females only, Gardasil 4 and 9 for both males and females. Kindly visit any MSI Nigeria Medical Centres near you to get the HPV vaccines or call us for free on 08000022252 for further enquiries. Our locations 👇: SURULERE: 105, Itire Road, Lawanson Surulere, Lagos. LEKKI: No. 1, Alhaji Prince Raufu Ishola Lemomu St, Greenville Estate, Off Agungi-Ajiran Road, Lekki, Lagos. ABUJA: 29, Ekukinam Street Utako, Abuja. BENIN: 13, Aideyan street off Ihama road, GRA Benin-City PORT HARCOURT: 25, Nsirim Road, Off Ikwerre Road, Port Harcourt. #MarieStopesNigeria #msinigeria #mariestopes #familyplanning #reproductivehealth","['stigmatization case-reporting symptoms-severity variants', 'public health capacity', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects', 'alternative cures religious practices', 'bioweapon conspiracy corruption media-bias medical-exploitation']","[0.8997557759284973, 0.8837677836418152, 0.2228505164384842, 0.1579495221376419, 0.10715528577566147]","['prevention-treatment-approved', 'prevention-treatment-approved', 'intervention-capacity', 'prevention-treatment-approved']","['illness-cause', 'intervention-capacity', 'prevention-treatment-approved', 'prevention-treatment-alternative', 'conspiracy-corruption']"
ded0368c-5cf5-4df0-a20f-4aa7eb1f3ffa, | Papa why are u telling everybody that u have HIV AIOS instead of cancer? Well because don't want anybody to touch ur mother after my death Spyplaprar,"['stigmatization case-reporting symptoms-severity variants', 'bioweapon conspiracy corruption media-bias medical-exploitation', 'public health capacity', 'alternative cures religious practices', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects']","[0.9892670512199402, 0.9758389592170715, 0.36158859729766846, 0.19572590291500092, 0.014965943992137909]",['illness-cause'],"['illness-cause', 'conspiracy-corruption', 'intervention-capacity', 'prevention-treatment-alternative', 'prevention-treatment-approved']"
91be3b7e-d8b4-4f4b-8843-6c2e0b9bfb91,🇨🇲🇨🇲✊🏾✊🏾🇨🇲🇨🇲✊🏾✊🏾 Francis Nganou trained by Myke tyson Are you kidding with CAMEROON HUH It's going to heat up very badly 🔴Only the covid 19 vaccine can save us,"['bioweapon conspiracy corruption media-bias medical-exploitation', 'stigmatization case-reporting symptoms-severity variants', 'public health capacity', 'alternative cures religious practices', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects']","[0.7604345083236694, 0.6444262266159058, 0.6397401690483093, 0.15690359473228455, 0.04659753665328026]",['prevention-treatment-approved'],"['conspiracy-corruption', 'illness-cause', 'intervention-capacity', 'prevention-treatment-alternative', 'prevention-treatment-approved']"
4ee10efb-609c-4124-9c37-4b52f10c4f74,“I Am HIV Positive And I Will Spread It Round Lagos” — Nigerian Lady Resident In Ikorodu Vows,"['stigmatization case-reporting symptoms-severity variants', 'bioweapon conspiracy corruption media-bias medical-exploitation', 'alternative cures religious practices', 'public health capacity', 'prevention collective prevention individual treatment vaccine efficacy vaccine side effects']","[0.9914224147796631, 0.5411162972450256, 0.05086401104927063, 0.046919580549001694, 0.004894974175840616]","['illness-cause', 'illness-cause', 'illness-cause']","['illness-cause', 'conspiracy-corruption', 'prevention-treatment-alternative', 'intervention-capacity', 'prevention-treatment-approved']"
