topic number,topic ngram 1,topic ngram 2,topic ngram 3,topic ngram 4,topic ngram 5,topic ngram 6,topic ngram 7,topic ngram 8,topic ngram 9,topic ngram 10,topicId,count
0,covid deaths,new covid,99 covid,99 covid deaths,covid 19 variant,19 variant,pcr test,cdc data shows,test covid,virus cdc data shows,0,377
1,labour party,national headquarters,director kaduna,solidfmradio com,alex otti,www solidfmradio,www solidfmradio com,managing director kaduna,secretary kaduna,executive secretary kaduna,1,87
2,cut pieces,daily week,lime orange,orange juice,want treat,chromolaena odorata,thrice daily,grind powder,glass cup,day week,2,69
3,government fight,seasonal malaria,world malaria,world malaria day,want government fight,want government,want government fight malaria,government fight malaria,malaria day,malaria vaccine does,3,68
4,virus infection devastating disease,fipv polio virus,press briefing sensitize,infection devastating disease,immunization campaign prevention integrated,kaduna state formally,kaduna state formally launch,launch statewide,launch statewide immunization,launch statewide immunization campaign,4,65
5,,,,,,,,,,,5,61
6,thank jesus,thank jesus time,jesus time,jesus time come,thank jesus time come,morning papa,good morning papa,wonders number,oil papa blessed,oil papa,6,56
7,reason vaccine,reason vaccine hesitancy,vaccine hesitancy,parental consent,vaccine reason vaccine hesitancy,hesitancy fear,reason vaccine hesitancy parental,vaccine reason,reason vaccine hesitancy fear,hesitancy parental,7,52
8,world plenty,tik dengue,tik dengue official,dengue official,king somnala,bop dylan,majesty king,majesty king somnala,claudio njalla,dylan tik dengue,8,51
9,diedsuddenly cdnpoli ableg https,ableg https,cdnpoli ableg https,cdnpoli ableg,diedsuddenly cdnpoli ableg,diedsuddenly cdnpoli,rt makismd,11 2023,died suddenly,covid 19 mrna,9,50
10,initiative gpei,novel polio,using novel,major immunization,major immunization campaign,using novel polio vaccine,novel polio vaccine,polio eradication initiative gpei,eradication initiative gpei,using novel polio,10,44
11,polio heard radio,polio heard,heard radio children neighboring,heard radio children,heard radio,ensure child protected,ensure child protected polio,child protected,protected polio heard,child protected polio,11,38
12,pentavalent vaccine coverage,dose pentavalent vaccine coverage,2016 57,improved 33,nigeria dose pentavalent vaccine,dose pentavalent vaccine,vaccine coverage improved,vaccine coverage improved 33,coverage improved,coverage improved 33,12,36
13,diseases polio measles,diseases polio measles cases,detection reporting cases,surveillance detection,reporting cases vaccine preventable,vaccine preventable diseases polio,reporting cases vaccine,surveillance detection reporting,preventable diseases polio,preventable diseases polio measles,13,33
14,regions cameroon east far,2023 regions cameroon east,vaccine preventive measure vaccination,know polio causes,did know polio causes,measure vaccination campaign planned,campaign planned 2023 regions,vaccination campaign planned 2023,regions cameroon,regions cameroon east,14,33
15,hiv infections,university yaoundé,john nkengasong,new hiv,faculty medicine,deliberately injected,ambassador large,university yaoundé faculty medicine,university yaoundé faculty,dr john nkengasong,15,33
